t,A,B,C
-0.0553,-0.910105970684996,0.0961932054943794,0.813912765190618
-0.0552,-0.925077206834457,0.133640258869072,0.791436947965387
-0.0551,-0.938733857653874,0.170897402123277,0.767836455530598
-0.055,-0.951056516295154,0.207911690817761,0.743144825477394
-0.0549,-0.962027671586086,0.24463052562291,0.717397145963178
-0.0548,-0.971631732914675,0.281001727065255,0.690630005849421
-0.0547,-0.979855052384247,0.316973609677354,0.662881442706895
-0.0546,-0.986685944207868,0.352495055445681,0.634190888762189
-0.0545,-0.992114701314478,0.387515586452104,0.604599114862376
-0.0544,-0.996133609143173,0.421985436605785,0.57414817253739
-0.0543,-0.998736956606018,0.455855622363503,0.542881334242517
-0.0542,-0.999921044203816,0.489078012337957,0.510843031865861
-0.0541,-0.9996841892833,0.52160539569511,0.478078793588192
-0.054,-0.998026728428272,0.553391549243344,0.44463517918493
-0.0539,-0.9949510169813,0.584391303119173,0.410559713862129
-0.0538,-0.990461425696651,0.614560604976066,0.375900820720587
-0.0537,-0.984564334529205,0.643856582585256,0.340707751943951
-0.0536,-0.977268123568193,0.672237604759517,0.305030518808679
-0.0535,-0.968583161128631,0.699663340513367,0.268919820615266
-0.0534,-0.958521789017375,0.726094816375594,0.232426972641783
-0.0533,-0.947098304994743,0.751494471772699,0.195603833222046
-0.0532,-0.934328942456612,0.775826212404521,0.158502730052093
-0.0531,-0.920231847365869,0.799055461536222,0.121176385829649
-0.053,-0.904827052466019,0.821149209133705,0.0836778433323165
-0.0529,-0.888136448813544,0.842076058772694,0.046060390040852
-0.0528,-0.870183754669526,0.861806272254755,0.00837748241477279
-0.0527,-0.850994481794692,0.880311811866921,-0.0293173300722274
-0.0526,-0.830595899195812,0.897566380224799,-0.0669704810289851
-0.0525,-0.809016994374948,0.913545457642601,-0.104528463267651
-0.0524,-0.786288432136619,0.928226336976964,-0.141937904840343
-0.0523,-0.762442511011447,0.941588155895031,-0.179145644883583
-0.0522,-0.737513117358172,0.953611926520977,-0.216098809162804
-0.0521,-0.711535677209283,0.964280562418816,-0.252744885209532
-0.052,-0.684547105928688,0.973578902873161,-0.289031796944472
-0.0519,-0.656585755752954,0.981493734433434,-0.324907978680478
-0.0518,-0.6276913612907,0.988013809690895,-0.360322448400194
-0.0517,-0.597904983057518,0.993129863261836,-0.395224880204317
-0.0516,-0.567268949126754,0.996834624954185,-0.42956567582743
-0.0515,-0.535826794978996,0.999122830098858,-0.463296035119861
-0.0514,-0.503623201635759,0.999991227031138,-0.496368025395377
-0.0513,-0.470703932165333,0.999438581711464,-0.52873464954613
-0.0512,-0.437115766650932,0.997465679479077,-0.560349912828144
-0.0511,-0.402906435713664,0.994075323936005,-0.591168888222339
-0.051,-0.368124552684679,0.989272332962988,-0.621147780278309
