"Time in s";"Phase Current A/Terminal j in kA";"Phase Current B/Terminal j in kA";"Phase Current C/Terminal j in kA";"Phase Voltage B/Terminal j in p.u.";"Phase Voltage C/Terminal j in p.u.";"Phase Voltage A/Terminal j in p.u."
-0,084100;0,096806;-0,213415;0,116609;0,998135;-0,350518;-0,647617
-0,084000;0,103919;-0,213695;0,109776;0,990961;-0,314457;-0,676504
-0,083900;0,110883;-0,213670;0,102787;0,982379;-0,277949;-0,704430
-0,083800;0,117690;-0,213342;0,095652;0,972400;-0,241046;-0,731354
-0,083700;0,124330;-0,212711;0,088381;0,961040;-0,203800;-0,757240
-0,083600;0,130792;-0,211777;0,080985;0,948314;-0,166265;-0,782049
-0,083500;0,137069;-0,210543;0,073474;0,934241;-0,128494;-0,805747
-0,083400;0,143151;-0,209009;0,065858;0,918840;-0,090540;-0,828300
-0,083300;0,149030;-0,207179;0,058149;0,902133;-0,052457;-0,849676
-0,083200;0,154697;-0,205054;0,050357;0,884144;-0,014299;-0,869845
-0,083100;0,160144;-0,202637;0,042493;0,864899;0,023879;-0,888778
-0,083000;0,165364;-0,199933;0,034569;0,844425;0,062023;-0,906448
-0,082900;0,170349;-0,196945;0,026596;0,822751;0,100079;-0,922830
-0,082800;0,175092;-0,193677;0,018585;0,799908;0,137992;-0,937900
-0,082700;0,179586;-0,190134;0,010547;0,775928;0,175710;-0,951638
-0,082600;0,183825;-0,186320;0,002495;0,750845;0,213178;-0,964023
-0,082500;0,187803;-0,182242;-0,005561;0,724695;0,250343;-0,975039
-0,082400;0,191514;-0,177905;-0,013609;0,697516;0,287153;-0,984668
-0,082300;0,194952;-0,173315;-0,021637;0,669345;0,323554;-0,992899
-0,082200;0,198114;-0,168479;-0,029635;0,640223;0,359496;-0,999718
-0,082100;0,200994;-0,163403;-0,037591;0,610191;0,394927;-1,005117
-0,082000;0,203589;-0,158095;-0,045493;0,579292;0,429796;-1,009088
-0,081900;0,205894;-0,152563;-0,053331;0,547569;0,464055;-1,011624
-0,081800;0,207907;-0,146814;-0,061093;0,515069;0,497654;-1,012723
-0,081700;0,209625;-0,140856;-0,068769;0,481836;0,530546;-1,012382
-0,081600;0,211044;-0,134698;-0,076346;0,447919;0,562684;-1,010603
-0,081500;0,212164;-0,128349;-0,083815;0,413365;0,594022;-1,007387
-0,081400;0,212981;-0,121817;-0,091165;0,378224;0,624516;-1,002740
-0,081300;0,213497;-0,115112;-0,098385;0,342545;0,654123;-0,996668
-0,081200;0,213708;-0,108243;-0,105465;0,306380;0,682800;-0,989179
-0,081100;0,213616;-0,101221;-0,112396;0,269779;0,710506;-0,980285
-0,081000;0,213221;-0,094054;-0,119166;0,232795;0,737203;-0,969998
-0,080900;0,212522;-0,086755;-0,125768;0,195480;0,762852;-0,958332
-0,080800;0,211522;-0,079331;-0,132190;0,157887;0,787417;-0,945305
-0,080700;0,210221;-0,071796;-0,138425;0,120070;0,810864;-0,930934
-0,080600;0,208622;-0,064158;-0,144464;0,082082;0,833158;-0,915240
